contreg,eixox,eixoy,eixoz,gps_fix,gps_speed,gps_direction,gps_alt,gps_rtc
0,-3.3152956581854e-07,-4.9050005617039,-8.4957085239877,3,0.00092569270711461,90,0,00000000000.00
1,-2.9533797614709e-08,-2.3987415504308,-4.1547411010677,3,2.4043529327349,90,0,00000000000.05
2,0.13361204130183,-1.1699834748459,-0.99843200210479,3,3.5309260668067,90,0,00000000000.10
3,0.18630401452397,-2.4949869818573,-2.7171469865604,3,2.9499750760666,90,0,00000000000.15
4,0.063092597615698,-7.143502250017,-11.109984883471,3,1.1953034725319,90,0,00000000000.20
5,-0.56738822819963,-8.959187700489,-17.508593487611,3,0.60991160151814,90,0,00000000000.25
6,-0.71981947476902,-8.4445779857473,-17.584092079859,3,1.5980584408466,90,0,00000000000.30
7,-0.26755540059383,-6.4417134704745,-13.987737043412,3,1.6787380564378,90,0,00000000000.35
8,0.013534165457888,-4.3653000866712,-9.2467065233905,3,1.080224968021,90,0,00000000000.40
9,0.20401900596454,-3.1182359354291,-5.6308887087038,3,0.2763174875502,90,0,00000000000.45
10,0.024966583347255,-2.7484072929539,-4.3390912736825,3,0.47954106442519,90,0,00000000000.50
11,-0.13502364977151,-3.3866887234886,-4.9899464896999,3,0.77435222937463,90,0,00000000000.55
12,-0.33813381591362,-4.1270584701747,-6.9913553478577,3,0.70171026195512,90,0,00000000000.60
13,-0.52914405056616,-5.1716568286023,-8.8005080364403,3,0.39563192468558,90,0,00000000000.65
14,-0.23540802404209,-5.4305407433234,-10.151375534274,3,0.062837808681115,90,0,00000000000.70
15,-0.32140880577094,-5.5209991693767,-10.331742906087,3,0.2097082439574,90,0,00000000000.75
16,-0.16228382403359,-5.14771392333,-9.9550965170284,3,0.31737240324201,90,0,00000000000.80
17,-0.14543000034343,-5.0246596743747,-9.1138887546879,3,0.2901063730872,90,0,00000000000.85
18,-0.15005711626456,-4.6687831747272,-8.4543484904135,3,0.18641607435102,90,0,00000000000.90
19,-0.16574205741953,-4.589984441093,-8.0017127021334,3,0.058957372626035,90,0,00000000000.95
20,-0.32476337131771,-4.3862702104265,-7.9374365463767,3,0.070871047848594,90,0,00000000001.00
21,-0.18744271638842,-4.439550241067,-8.0350931642673,3,0.13512024543535,90,0,00000000001.05
22,-0.16413238284108,-4.5520395672377,-8.2480605499343,3,0.14917149073767,90,0,00000000001.10
23,-0.3298426006716,-4.6984420720296,-8.5153883003771,3,0.11089041127322,90,0,00000000001.15
24,-0.15278706998365,-4.7180454799716,-8.8510527728091,3,0.049962416850394,90,0,00000000001.20
25,-0.17358341477555,-5.0315724158565,-8.8111744733808,3,0.029930627066905,90,0,00000000001.25
26,-0.16975036772688,-4.9530228109992,-8.9655216250181,3,0.077853096290303,90,0,00000000001.30
27,-0.16859290844459,-4.870945822058,-8.8184490336656,3,0.081475516570806,90,0,00000000001.35
28,-0.17027118074817,-4.751035252304,-8.6057005087931,3,0.061438325497839,90,0,00000000001.40
29,-0.17442313300392,-4.6857863301643,-8.4877988017371,3,0.025918376594766,90,0,00000000001.45
30,-0.17747768172867,-4.6460230490685,-8.4151146661762,3,0.010543544197865,90,0,00000000001.50
31,-0.17881944100858,-4.642944096783,-8.4095975115062,3,0.035908393972711,90,0,00000000001.55
32,-0.17855004141475,-4.6725503743626,-8.464296877683,3,0.044508126538278,90,0,00000000001.60
33,-0.17719735364703,-4.7161069321246,-8.544873971689,3,0.038664955830621,90,0,00000000001.65
34,-0.17564368938764,-4.758308415605,-8.6220610516843,3,0.018555736577694,90,0,00000000001.70
35,-0.17488250784203,-4.7928222972584,-8.6834296185012,3,0.0094720195359054,90,0,00000000001.75
36,-0.17481866859295,-4.8050775704356,-8.7036802956018,3,0.024360369419188,90,0,00000000001.80
37,-0.17493815436322,-4.7860352843182,-8.6684353257621,3,0.029669471407816,90,0,00000000001.85
38,-0.1748295243212,-4.6230552384855,-8.6767054698318,3,0.015985155479752,90,0,00000000001.90
39,-0.17536663548676,-4.8383146088998,-8.4613250274886,3,0.007879451622278,90,0,00000000001.95
40,-0.1762828967856,-4.7187761024967,-8.5462495350663,3,0.005681996995923,90,0,00000000002.00
41,-0.17602732151058,-4.7047908977192,-8.5215098833693,3,0.012365616770476,90,0,00000000002.05
42,-0.17641160846968,-4.7228157139722,-8.5540428420006,3,0.017876027513917,90,0,00000000002.10
43,-0.17590620592589,-4.7269880389083,-8.5617765442928,3,0.006324812458967,90,0,00000000002.15
44,-0.17688706317335,-4.7726829132002,-8.6424300067463,3,0.0033285633092258,90,0,00000000002.20
45,-0.17589328382578,-4.7602353219204,-8.6218654739529,3,0.0044202846720549,90,0,00000000002.25
46,-0.17524592735568,-4.7486263865792,-8.6030117806479,3,0.0035278952524995,90,0,00000000002.30
47,-0.17488057243739,-4.7342523546453,-8.5776136839219,3,0.0086811873533473,90,0,00000000002.35
48,-0.17600224856183,-4.7547954670204,-8.6122234917959,3,0.0031182891914583,90,0,00000000002.40
49,-0.17540327720757,-4.7269121361221,-8.5620410398915,3,0.0070416863356006,90,0,00000000002.45
50,-0.17659288166907,-4.7504345492719,-8.6035109695242,3,0.0025752091966099,90,0,00000000002.50
51,-0.17567576180728,-4.7211598225132,-8.5534477269036,3,0.0066805733748164,90,0,00000000002.55
52,-0.17567010111252,-4.7236939511184,-8.5588000374857,3,0.010341051357305,90,0,00000000002.60
53,-0.1755999026768,-4.729983172166,-8.5686236275362,3,0.0033130519369051,90,0,00000000002.65
54,-0.17646543600155,-4.7609403330759,-8.6210272836756,3,0.0031181977473638,90,0,00000000002.70
55,-0.17628406093876,-4.7584336784853,-8.6160949995547,3,0.0038754565056088,90,0,00000000002.75
56,-0.17578395529186,-4.7433583606861,-8.5906521993473,3,0.006543080656696,90,0,00000000002.80
57,-0.17583519258295,-4.7429038752913,-8.5909036564305,3,0.0089432862021076,90,0,00000000002.85
58,-0.17592541445308,-4.7429062035976,-8.5919895785009,3,0.0041451799309783,90,0,00000000002.90
59,-0.17503805325651,-4.7150335829084,-8.5435486997282,3,0.0047215427965181,90,0,00000000002.95
60,-0.17588494557875,-4.7365136057491,-8.5800490923389,3,0.0059561916599455,90,0,00000000003.00
61,-0.17598535378906,-4.7391501798326,-8.5822954422822,3,0.0026910923717295,90,0,00000000003.05
62,-0.1765217373589,-4.7547256178306,-8.6078937733522,3,0.0025320077247693,90,0,00000000003.10
63,-0.17638679745539,-4.7521197773906,-8.6032352980552,3,0.0034306493020745,90,0,00000000003.15
64,-0.17595210266434,-4.7410547344072,-8.5851648469983,3,0.0098973708802196,90,0,00000000003.20
65,-0.17666952660294,-4.7607303198453,-8.6224447565668,3,0.0055294271351736,90,0,00000000003.25
66,-0.17526897758831,-4.7213255979236,-8.556631918635,3,0.018467177887392,90,0,00000000003.30
67,-0.17480244320824,-4.5855904613946,-8.6156162997741,3,0.018644940618591,90,0,00000000003.35
68,-0.17564840420795,-4.7309745649996,-8.572433668008,3,0.014669842489221,90,0,00000000003.40
69,-0.17675037704011,-4.7629063549375,-8.6249481515285,3,0.0034127419531226,90,0,00000000003.45
70,-0.17596875005457,-4.8650454281668,-8.5064494667305,3,0.0092251469355142,90,0,00000000003.50
71,-0.17669919795668,-4.7651787819116,-8.6271786689888,3,0.0021971503705878,90,0,00000000003.55
72,-0.17533488320924,-4.7285577830333,-8.5644065991186,3,0.0043966806866001,90,0,00000000003.60
73,-0.17557902067943,-4.7358519010912,-8.5784593247795,3,0.0028749455669495,90,0,00000000003.65
74,-0.17557004214817,-4.7368721649233,-8.5800751693697,3,0.0055004667749885,90,0,00000000003.70
75,-0.17581406320304,-4.7444829326415,-8.5928640903569,3,0.0031134808777851,90,0,00000000003.75
76,-0.17550618834718,-4.7357187219694,-8.57678853216,3,0.0050327068151479,90,0,00000000003.80
77,-0.17595227728731,-4.7450482454175,-8.5927672328138,3,0.0015537029052322,90,0,00000000003.85
78,-0.17605959765703,-4.7442915458615,-8.5912212374133,3,0.0020622876496344,90,0,00000000003.90
79,-0.17609944079903,-4.7452438231488,-8.5928752662273,3,0.0052363312330654,90,0,00000000003.95
80,-0.17609504612084,-4.7469015772529,-8.596316502977,3,0.0062811764659074,90,0,00000000004.00
81,-0.17577681030182,-4.7389797478095,-8.5837008079805,3,0.010224673027711,90,0,00000000004.05
82,-0.17529562214382,-4.7255910551128,-8.5610314862685,3,0.0037472756708966,90,0,00000000004.10
83,-0.17590246608385,-4.7415599768799,-8.5888081807371,3,0.002480482585038,90,0,00000000004.15
84,-0.17611758703646,-4.7456433605144,-8.5952687651304,3,0.0067753373912929,90,0,00000000004.20
85,-0.17564243792299,-4.7314085612988,-8.5693612349802,3,0.0032059679267385,90,0,00000000004.25
86,-0.1761323426778,-4.7457644324433,-8.593020552542,3,0.0013732857769555,90,0,00000000004.30
87,-0.17608576199936,-4.7467129844405,-8.5931546629864,3,0.0036982084649911,90,0,00000000004.35
88,-0.17636432929935,-4.754306522692,-8.6066057542927,3,0.0023861612217883,90,0,00000000004.40
89,-0.17577825094136,-4.7373834609924,-8.5780448862535,3,0.0024581306597184,90,0,00000000004.45
90,-0.17570026723136,-4.7362663396172,-8.5769217112819,3,0.0028572616514451,90,0,00000000004.50
91,-0.17570733946182,-4.7378868408201,-8.5797287173884,3,0.00242899921799,90,0,00000000004.55
92,-0.17620468024496,-4.7521649465334,-8.6047421779094,3,0.0010989408077764,90,0,00000000004.60
93,-0.17563292097088,-4.7343734265742,-8.5742627854576,3,0.0011858265032904,90,0,00000000004.65
94,-0.17600654137662,-4.7426249441934,-8.5895271617306,3,0.00032615848250474,90,0,00000000004.70
95,-0.17586823998086,-4.7392321362152,-8.5835601782784,3,0.0017791745711069,90,0,00000000004.75
96,-0.1758817878133,-4.7396009399373,-8.5842279365327,3,0.0015622304656857,90,0,00000000004.80
97,-0.17587339135861,-4.7434542869067,-8.5901613923737,3,0.00096130921159293,90,0,00000000004.85
98,-0.1758752831075,-4.7436498646381,-8.590490149227,3,0.00035190448034485,90,0,00000000004.90
99,-0.17569932135691,-4.7379538960423,-8.5807792492027,3,0.00086689491402577,90,0,00000000004.95
100,-0.17569933590883,-4.7379543617036,-8.5807801805252,3,0.10070841692089,90,0,00000000005.00
101,0.36174124134816,-4.9416276141787,-8.6434423543368,3,0.29058955051732,90,0,00000000005.05
102,0.95903636057782,-4.9643896024824,-8.6814580087044,3,0.48005802897419,90,0,00000000005.10
103,0.95321838873053,-4.7235635659641,-8.5508456117538,3,0.67750614698263,90,0,00000000005.15
104,0.96631994304963,-4.4988494092214,-8.4496155093141,3,0.87895088404521,90,0,00000000005.20
105,0.96801786043783,-4.7998169951228,-8.3892089986711,3,1.0788603109689,90,0,00000000005.25
106,0.94024163163051,-4.7354332716138,-8.5766236880721,3,1.2727820288047,90,0,00000000005.30
107,0.98071557002469,-4.803877095694,-8.7013240495999,3,1.4547684777217,90,0,00000000005.35
108,0.80245153193825,-4.690704178786,-8.8012726522378,3,1.6415160888849,90,0,00000000005.40
109,0.97059488808705,-4.648138082535,-8.7272706952963,3,1.8272582831333,90,0,00000000005.45
110,0.79997980194262,-4.7580178429755,-8.621835671632,3,2.0237007462992,90,0,00000000005.50
111,0.95032121896149,-4.7010474468084,-8.5197142935307,3,2.224842945234,90,0,00000000005.55
112,0.95416496166735,-4.8041946766768,-8.4018926802124,3,2.4229401062065,90,0,00000000005.60
113,0.95480547873762,-4.853010412768,-8.4840157696187,3,2.6116709234096,90,0,00000000005.65
114,0.97769727011904,-4.7918914403892,-8.6721624785286,3,2.7861526845037,90,0,00000000005.70
115,0.83025808693547,-4.5302899265245,-8.8090491953664,3,2.9795132175747,90,0,00000000005.75
116,0.9524992331141,-4.6322078106528,-8.6996905098816,3,3.1740232320364,90,0,00000000005.80
117,0.80592431723872,-4.7397043167381,-8.5965782046081,3,3.3696302380396,90,0,00000000005.85
118,0.95272740713405,-4.7378938257391,-8.5432767535494,3,3.5673225553425,90,0,00000000005.90
119,0.95138356693037,-4.760759656505,-8.6273695901075,3,3.7607058339361,90,0,00000000005.95
120,0.95219597121515,-4.7415189986886,-8.5885241273653,3,3.960564617427,90,0,00000000006.00
121,0.95262408854083,-4.8711246359839,-8.5175536252603,3,4.1473282733949,90,0,00000000006.05
122,0.97712497242412,-4.7479227724075,-8.5968743651727,3,4.3429636769019,90,0,00000000006.10
123,0.95338474621752,-4.8554341796533,-8.4900311818425,3,4.5340885082629,90,0,00000000006.15
124,0.80511191295394,-4.7791188175463,-8.6517031851813,3,4.7297205782651,90,0,00000000006.20
125,0.95165970406062,-4.7723900122644,-8.6418013640383,3,4.9174922983889,90,0,00000000006.25
126,0.97640756303744,-4.7491842487749,-8.606047892097,3,5.0954395513337,90,0,00000000006.30
127,0.8302915563389,-4.5940128766981,-8.6318995428953,3,5.2954543647358,90,0,00000000006.35
128,0.95076621650804,-4.7795528138455,-8.6636148003448,3,5.4898474565826,90,0,00000000006.40
129,0.95308369620958,-4.7066274657492,-8.5369884638242,3,5.6744958080586,90,0,00000000006.45
130,0.80698474435488,-4.7032053211113,-8.5291625606014,3,5.8809593143783,90,0,00000000006.50
131,1.0976768741556,-4.7876297084902,-8.6759566865174,3,6.0655463234306,90,0,00000000006.55
132,0.80653386783486,-4.723826664579,-8.5617737503252,3,6.2534717231192,90,0,00000000006.60
133,0.97682729846035,-4.7343189442062,-8.5796206839749,3,6.4401613457075,90,0,00000000006.65
134,0.8037044517799,-4.7944637532182,-8.6812214527817,3,6.6468534925067,90,0,00000000006.70
135,1.0979588320517,-4.9038461874275,-8.5791363962591,3,6.8478716668769,90,0,00000000006.75
136,0.95222804363479,-4.8909604088972,-8.5610948162006,3,7.0389355711029,90,0,00000000006.80
137,0.80485463510492,-4.4781204980014,-8.7315091441321,3,7.2356431711159,90,0,00000000006.85
138,0.95377374799693,-4.6723031082307,-8.4877662054486,3,7.4344495090674,90,0,00000000006.90
139,0.95239416829115,-4.7105054927657,-8.5486085750358,3,7.6168870423101,90,0,00000000006.95
140,0.97421284328694,-4.6344685960953,-8.7104156201415,3,7.802463119465,90,0,00000000007.00
141,0.80529520886945,-4.895469406928,-8.5683386428419,3,7.9980528896783,90,0,00000000007.05
142,0.97683789225413,-4.891032120732,-8.5590347307634,3,8.1848929394074,90,0,00000000007.10
